emp_no,first_name,last_name,tittle,salary,from_date,to_date
10095,Hilari,Morton,Senior Staff,63668,1994-03-10,9999-01-01
10122,Ohad,Esposito,Technique Leader,42284,1998-08-06,9999-01-01
10291,Dipayan,Seghrouchni,Senior Staff,57430,1987-03-30,9999-01-01
10476,Kokou,Iisaka,Senior Staff,58221,1987-09-20,9999-01-01
10663,Teunis,Noriega,Technique Leader,47521,1993-01-23,9999-01-01
10762,Lech,Himler,Senior Staff,52172,1992-01-21,9999-01-01
10933,Juyoung,Seghrouchni,Senior Engineer,40000,1993-08-02,9999-01-01
12155,Keiichiro,Glinert,Senior Engineer,55355,1993-09-16,9999-01-01
12408,Rasiah,Sudkamp,Senior Engineer,40000,1995-04-18,9999-01-01
12643,Morrie,Schurmann,Staff,114784,1998-12-31,9999-01-01
13499,Kazuhiko,Sidou,Technique Leader,40000,1991-09-01,9999-01-01
14075,Denny,Tchuente,Engineer,40000,1991-05-30,9999-01-01
14104,Sudhanshu,Demian,Senior Staff,40327,1994-07-23,9999-01-01
14127,Magdalena,Cannard,Senior Engineer,50454,1994-04-22,9999-01-01
14158,Caolyn,Setiz,Senior Staff,67559,1990-02-06,9999-01-01
14476,Sastry,Marrevee,Engineer,72512,1999-09-25,9999-01-01
14907,Nakhoon,Luga,Senior Staff,69351,1986-12-18,9999-01-01
15050,Nikolaos,Kruskal,Senior Engineer,46188,1990-12-17,9999-01-01
15058,Bouchung,Bugrara,Senior Staff,62294,1990-06-18,9999-01-01
15413,Arvin,Rabejac,Senior Engineer,40000,1994-01-01,9999-01-01
16461,Remmert,Schahn,Senior Staff,83638,1986-09-06,9999-01-01
16528,Gaurav,Swick,Engineer,49557,1996-05-07,9999-01-01
17013,Morris,Garigliano,Senior Staff,55776,1995-05-24,9999-01-01
17206,Berry,DeMori,Senior Engineer,40000,1992-12-27,9999-01-01
17369,Yaghout,Kenevan,Senior Engineer,40000,1993-01-28,9999-01-01
17447,Zengping,Boreale,Staff,65188,1998-12-16,9999-01-01
17731,Gennady,Roison,Engineer,68972,1989-12-06,9999-01-01
17970,Filipp,Carrere,Technique Leader,40000,1989-01-09,9999-01-01
17988,Mabhin,Calkin,Senior Engineer,52284,1989-11-30,9999-01-01
18021,Adil,Matzke,Senior Engineer,40000,1987-05-08,9999-01-01
18424,Filipp,Rousseau,Senior Engineer,40000,1995-06-07,9999-01-01
18583,Stafford,Honglei,Staff,40000,1998-08-16,9999-01-01
18617,Surveyors,Crouzet,Senior Staff,40000,1989-04-24,9999-01-01
18810,Taiji,Jarecki,Senior Engineer,40000,1991-06-27,9999-01-01
19236,Elzbieta,Morris,Senior Engineer,67760,1988-07-12,9999-01-01
19350,Satoru,Yoshizawa,Senior Staff,41182,1994-03-27,9999-01-01
19803,Ziva,Kowalchuk,Senior Engineer,71465,1987-06-13,9999-01-01
20100,Utz,Heuter,Senior Staff,64100,1986-06-15,9999-01-01
20128,Kazunori,Peak,Senior Staff,40000,1999-08-13,9999-01-01
20129,Rafael,Skafidas,Senior Engineer,53292,1991-03-28,9999-01-01
20248,Vidar,Demri,Staff,40000,1999-12-31,9999-01-01
20313,Candida,Benveniste,Engineer,40000,1999-01-20,9999-01-01
20500,Christoph,Trystram,Senior Staff,40000,1993-10-15,9999-01-01
20885,Otmar,Rothenberg,Senior Engineer,59704,1989-03-14,9999-01-01
21181,Jianhui,Cangellaris,Engineer,60114,1991-10-06,9999-01-01
21188,Piyush,Danecki,Engineer,40000,2000-01-08,9999-01-01
21546,Yongmin,Lanteri,Senior Staff,75391,1988-02-16,9999-01-01
21843,Karsten,Azadmanesh,Senior Engineer,52216,1985-11-29,9999-01-01
21909,Mohammed,Brizzi,Senior Staff,60302,1991-12-28,9999-01-01
22185,Huai,Birch,Engineer,40000,1996-03-26,9999-01-01
22415,Perla,Jumpertz,Senior Staff,69277,1994-08-24,9999-01-01
22451,Jasminko,Bresenham,Senior Staff,40000,1987-12-16,9999-01-01
22455,Barry,Unno,Senior Staff,69644,1990-11-16,9999-01-01
22926,Manibrata,Genther,Senior Engineer,56184,1988-01-15,9999-01-01
23396,Hilari,Fairtlough,Technique Leader,55806,1986-12-15,9999-01-01
24080,Jaana,Perez,Technique Leader,47203,1996-03-11,9999-01-01
24205,Roddy,Rubsam,Senior Engineer,49424,1993-09-19,9999-01-01
24377,Lubomir,Wroclawski,Senior Engineer,42900,1993-07-25,9999-01-01
24394,Zhonghui,Conta,Staff,55035,1994-09-10,9999-01-01
24553,Anwar,Passafiume,Senior Staff,58459,1987-01-30,9999-01-01
24571,Cordelia,Gischer,Senior Engineer,40000,1989-03-14,9999-01-01
25488,Ingmar,Basawa,Senior Staff,40851,1991-11-09,9999-01-01
26629,Nevin,Rodham,Senior Staff,50836,1998-12-14,9999-01-01
26671,Jiakeng,Kalorkoti,Senior Engineer,68039,1994-12-25,9999-01-01
26788,Zongyan,Dalphin,Senior Engineer,40000,1988-04-23,9999-01-01
27331,Wanqing,Krohm,Senior Staff,40000,1991-01-22,9999-01-01
27378,Piyawadee,Leppanen,Senior Staff,48227,1999-02-25,9999-01-01
27620,Shuji,Kandlur,Senior Engineer,40000,1990-03-02,9999-01-01
27686,Manu,Rosiles,Senior Staff,62592,1998-03-03,9999-01-01
27699,Falguni,Pezzoli,Engineer,67505,1996-12-23,9999-01-01
27767,Tooru,Veldwijk,Senior Staff,40000,1993-11-21,9999-01-01
28193,Xinglin,Mitsuhashi,Senior Engineer,40490,1988-12-14,9999-01-01
28974,Chenxi,Sundgren,Senior Engineer,40000,1986-09-02,9999-01-01
28988,Tua,Giveon,Technique Leader,47185,1998-09-09,9999-01-01
29130,Xumin,Thorensen,Staff,67033,1998-04-26,9999-01-01
29265,Gilbert,Calkin,Senior Staff,40000,1988-03-21,9999-01-01
29380,Satoru,Vidal,Assistant Engineer,48212,1998-05-02,9999-01-01
29418,Valery,Mersereau,Assistant Engineer,57496,1998-07-01,9999-01-01
29679,Kolar,Steenbeek,Senior Engineer,44381,1986-10-18,9999-01-01
29782,Jouko,Hellwagner,Senior Engineer,45222,1994-12-21,9999-01-01
29954,Pranay,Giarratana,Senior Engineer,40000,1992-09-29,9999-01-01
30007,Kousuke,Vecchio,Senior Engineer,56378,1990-02-23,9999-01-01
30035,Tetsushi,Conta,Senior Staff,45843,1995-07-04,9999-01-01
30154,Mayuko,Skafidas,Technique Leader,40000,1999-04-19,9999-01-01
30182,Leon,Potthoff,Senior Engineer,61572,1985-12-08,9999-01-01
30465,Randi,Avouris,Senior Engineer,41895,1986-07-16,9999-01-01
30484,Sailaja,Chvatal,Staff,62692,1999-05-18,9999-01-01
30695,Gudjon,Majewski,Senior Engineer,42052,1999-10-26,9999-01-01
30938,Yakkov,Samarati,Senior Staff,43593,1995-05-23,9999-01-01
31147,Divine,Sidhu,Senior Staff,54305,1989-07-05,9999-01-01
31188,Leandro,Gist,Technique Leader,40000,1993-02-03,9999-01-01
31207,Abdelwaheb,Dulin,Senior Engineer,40000,1993-08-05,9999-01-01
31341,Oksana,Zultner,Senior Staff,53219,1991-03-23,9999-01-01
31514,Harngdar,Schapire,Senior Engineer,62415,1996-11-09,9999-01-01
31568,Mark,Lalonde,Staff,67061,1996-11-24,9999-01-01
31909,Murthy,Peek,Engineer,46224,1994-07-19,9999-01-01
32347,Terresa,Peres,Senior Staff,66965,1990-09-15,9999-01-01
32552,Atreye,Stanger,Engineer,50710,1993-09-10,9999-01-01
32649,Ingmar,Nannarelli,Senior Staff,51124,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,Staff,82622,1997-11-17,9999-01-01
32844,Tadahiko,Melton,Engineer,48091,1995-01-07,9999-01-01
33025,Jessie,Thorelli,Senior Staff,40000,1999-12-16,9999-01-01
33215,Steen,Fasbender,Technique Leader,48797,1993-02-14,9999-01-01
33722,Anwar,Collette,Senior Engineer,40000,1994-03-22,9999-01-01
34077,Angel,Sichman,Senior Staff,50005,1988-11-16,9999-01-01
34261,Kyoichi,Callaway,Senior Staff,40000,1990-12-30,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,40000,1986-12-19,9999-01-01
34452,Naftaly,Foong,Senior Engineer,50679,1991-05-10,9999-01-01
34505,Felicidad,Kumaresan,Senior Staff,87384,1994-09-06,9999-01-01
34533,Erzsebet,Shigei,Senior Engineer,40829,1991-01-21,9999-01-01
34780,Moni,Kohling,Staff,64125,1994-07-21,9999-01-01
34788,Ennio,Babu,Senior Engineer,58068,1994-08-31,9999-01-01
34936,Bokyung,Stamatiou,Technique Leader,65899,1991-02-12,9999-01-01
35044,Jiang,Waschkowski,Senior Engineer,52310,1989-05-27,9999-01-01
35087,Leif,Ashish,Senior Staff,40000,1994-10-14,9999-01-01
35441,Chandrasekaran,Peek,Senior Engineer,48152,1988-02-07,9999-01-01
35642,Ashish,Talmon,Senior Engineer,40000,1995-06-13,9999-01-01
35793,Oscar,Kusalik,Senior Staff,56473,1991-05-11,9999-01-01
35798,Ulf,Oberman,Senior Engineer,41160,1997-03-15,9999-01-01
36521,Serif,Gladwell,Senior Staff,57111,1987-03-06,9999-01-01
36626,Fen,Genin,Senior Staff,48437,1986-05-09,9999-01-01
36733,Uma,Reinhard,Staff,40000,1997-11-01,9999-01-01
36844,Hailing,Levergood,Staff,57007,2000-01-12,9999-01-01
36982,Kotesh,Rajala,Senior Engineer,40000,1992-06-23,9999-01-01
37070,Jeong,Undy,Senior Staff,43215,1985-02-13,9999-01-01
37945,Suzette,Butterworth,Senior Engineer,40000,1994-02-19,9999-01-01
38043,Michaela,Randi,Senior Engineer,49927,1985-11-23,9999-01-01
38103,Masasuke,Babu,Senior Engineer,48383,1988-03-31,9999-01-01
38168,Fumiko,Deverell,Senior Staff,40000,1987-08-15,9999-01-01
38550,JoAnne,Baez,Senior Engineer,40000,1987-02-16,9999-01-01
38593,Huei,Orsini,Senior Engineer,60124,1986-06-04,9999-01-01
38947,Shuichi,Ruemmler,Senior Staff,40000,1991-03-08,9999-01-01
39000,Martijn,Vendrig,Senior Staff,48649,1997-03-03,9999-01-01
39036,Changho,Cappelli,Staff,40000,1996-05-04,9999-01-01
39301,Rimon,Kawashima,Senior Staff,40000,1992-02-06,9999-01-01
39341,Mahmut,Lampe,Senior Engineer,50645,1985-05-11,9999-01-01
39952,Otmar,Sudbeck,Staff,80468,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,Senior Staff,70370,1991-12-05,9999-01-01
40283,Sudhanshu,Boissier,Senior Engineer,40000,1985-05-11,9999-01-01
40301,Spyrose,Felder,Senior Engineer,40000,1996-06-16,9999-01-01
40536,Harngdar,Bernardinello,Senior Engineer,49948,1988-02-29,9999-01-01
40765,Michaela,Ramsak,Senior Staff,51758,1992-12-21,9999-01-01
40773,Shimshon,Aingworth,Senior Staff,40000,1986-04-13,9999-01-01
40983,Marla,Cherinka,Technique Leader,40000,1986-12-01,9999-01-01
41114,Petter,Thummel,Technique Leader,60729,1995-12-24,9999-01-01
41137,Bikash,Buchter,Senior Staff,71921,1987-11-23,9999-01-01
41357,Willard,Vernadat,Engineer,59086,1997-03-04,9999-01-01
41518,Keung,Schapiro,Senior Engineer,47399,1998-04-19,9999-01-01
41520,Xiong,Uhrik,Senior Engineer,44818,1988-03-21,9999-01-01
41609,Yucai,Simmen,Senior Staff,60396,1987-10-13,9999-01-01
42778,Shuji,Remmers,Senior Staff,40000,1987-12-18,9999-01-01
42911,Brigham,Eterovic,Senior Engineer,40181,1994-10-08,9999-01-01
42950,Shaleah,Eickenmeyer,Senior Staff,40000,1993-10-09,9999-01-01
42955,Yucel,Lortz,Engineer,40000,1995-02-21,9999-01-01
43154,Maha,Waterhouse,Senior Staff,69813,1997-07-04,9999-01-01
43733,Huei,Boguraev,Senior Staff,40000,1993-12-31,9999-01-01
43848,Phillip,Oxenboll,Engineer,40000,1999-05-26,9999-01-01
44054,Alenka,Ritcey,Engineer,40000,1997-02-09,9999-01-01
44265,Maria,Eppinger,Engineer,52444,1997-01-30,9999-01-01
44540,Mingzeng,Sadowski,Senior Engineer,40000,1989-11-12,9999-01-01
44900,Mark,Schwaller,Senior Staff,47805,1994-08-10,9999-01-01
44959,Volkmar,Uhrik,Senior Engineer,60432,1988-01-16,9999-01-01
44962,Sariel,Wynblatt,Assistant Engineer,40000,1996-05-18,9999-01-01
45162,Dulce,Speel,Senior Engineer,58610,1987-10-19,9999-01-01
46000,Zhaofang,Penn,Senior Staff,40000,1997-07-24,9999-01-01
46328,Wuxu,Trogemann,Senior Staff,76950,1997-01-27,9999-01-01
46811,Junsik,Berendt,Senior Engineer,52228,1988-04-27,9999-01-01
46834,Tooru,Daescu,Senior Staff,82569,1998-03-20,9999-01-01
46943,Pasqua,Maraist,Senior Engineer,46091,1993-12-06,9999-01-01
47016,Toong,Litecky,Senior Staff,58961,1989-03-01,9999-01-01
47139,Marco,Usdin,Engineer,67283,1996-10-29,9999-01-01
